Season_Year,Season_Type,GameKey,Game_Date,Week,PlayID,Game_Clock,YardLine,Quarter,Play_Type,Poss_Team,Home_Team_Visit_Team,Score_Home_Visiting,PlayDescription
2016,Pre,2,08/13/2016,2,191,12:30,LA 47,1,Punt,LA,LA-DAL,0 - 7,"(12:30) J.Hekker punts 52 yards to DAL 1, Center-J.McQuaide, downed by LA-E.Sims. Dallas challenged the kick downed ruling, and the play was REVERSED. J.Hekker punts 53 yards to end zone, Center-J.McQuaide, Touchback."
2016,Pre,2,08/13/2016,2,1132,12:08,LA 29,2,Punt,LA,LA-DAL,7 - 21,"(12:08) J.Hekker punts 51 yards to DAL 20, Center-J.McQuaide, fair catch by L.Whitehead. PENALTY on DAL-K.Wilber, Offensive Holding, 10 yards, enforced at DAL 20."
2016,Pre,2,08/13/2016,2,1227,10:01,DAL 18,2,Punt,DAL,LA-DAL,7 - 21,"(10:01) C.Jones punts 40 yards to LA 42, Center-L.Ladouceur. P.Cooper to DAL 33 for 25 yards (C.Jones; A.Hitchens)."
2016,Pre,2,08/13/2016,2,1864,00:21,DAL 46,2,Punt,LA,LA-DAL,7 - 24,"(:21) J.Hekker punts 31 yards to DAL 15, Center-J.McQuaide, out of bounds."
2016,Pre,2,08/13/2016,2,2247,10:26,DAL 15,3,Punt,DAL,LA-DAL,14 - 24,"(10:26) M.Wile punts 40 yards to LA 45, Center-Z.Wood, out of bounds."
2016,Pre,2,08/13/2016,2,2342,09:00,LA 50,3,Punt,LA,LA-DAL,14 - 24,"(9:00) J.Hekker punts 50 yards to end zone, Center-J.Overbaugh, Touchback."
2016,Pre,2,08/13/2016,2,2805,00:27,LA 38,3,Punt,LA,LA-DAL,14 - 24,"(:27) J.Hekker punts 48 yards to DAL 14, Center-J.Overbaugh, fair catch by L.Whitehead. PENALTY on DAL-D.Olatoye, Defensive 12 On-field, 5 yards, enforced at LA 38 - No Play."
2016,Pre,2,08/13/2016,2,2970,13:30,LA 41,4,Punt,DAL,LA-DAL,14 - 24,"(13:30) M.Wile punts 41 yards to end zone, Center-Z.Wood, Touchback."
2016,Pre,2,08/13/2016,2,3439,05:28,DAL 15,4,Punt,DAL,LA-DAL,21 - 24,"(5:28) M.Wile punts 59 yards to LA 26, Center-Z.Wood, fair catch by P.McRoberts."
2016,Pre,3,08/11/2016,2,455,06:44,BLT 32,1,Punt,BLT,BLT-CAR,0 - 3,"(6:44) (Punt formation) S.Koch punts 54 yards to CAR 14, Center-M.Cox. D.Byrd to CAR 23 for 9 yards (B.Beyer)."
2016,Pre,3,08/11/2016,2,1388,05:50,BLT 40,2,Punt,CAR,BLT-CAR,7 - 10,"(5:50) (Punt formation) S.Waters punts 26 yards to BLT 14, Center-J.Jansen, out of bounds."
2016,Pre,3,08/11/2016,2,1542,02:54,BLT 34,2,Punt,BLT,BLT-CAR,7 - 10,"(2:54) (Punt formation) S.Koch punts 45 yards to CAR 21, Center-M.Cox. D.Byrd to CAR 20 for -1 yards (T.Young). PENALTY on CAR-Z.Sanchez, Illegal Block Above the Waist, 10 yards, enforced at CAR 20."
2016,Pre,3,08/11/2016,2,1676,01:51,CAR 7,2,Punt,CAR,BLT-CAR,7 - 10,"(1:51) (Punt formation) S.Waters punts 38 yards to CAR 45, Center-J.Jansen, fair catch by K.Reynolds. PENALTY on CAR-M.Addison, Fair Catch Interference, 15 yards, enforced at CAR 45."
2016,Pre,3,08/11/2016,2,2643,06:10,CAR 49,3,Punt,CAR,BLT-CAR,22 - 13,"(6:10) (Punt formation) S.Waters punts 36 yards to BLT 15, Center-J.Jansen. K.Clay MUFFS catch, RECOVERED by CAR-F.Whittaker at BLT 12. F.Whittaker to BLT 12 for no gain (K.Clay)."
2016,Pre,3,08/11/2016,2,3949,01:59,BLT 9,4,Punt,BLT,BLT-CAR,22 - 19,"(1:59) (Punt formation) S.Koch punts 44 yards to CAR 47, Center-M.Cox. D.Byrd MUFFS catch, RECOVERED by BLT-P.Onwuasor at CAR 48. P.Onwuasor to CAR 48 for no gain (T.Robinson). Penalty on CAR-R.McClain, Defensive Holding, declined."
2016,Pre,4,08/12/2016,2,291,09:32,CLV 47,1,Punt,GB,GB-CLV,0 - 0,"(9:32) T.Masthay punts 38 yards to CLV 9, Center-R.Lovato, fair catch by T.Williams. PENALTY on CLV-J.Schobert, Running Into the Kicker, 5 yards, enforced at CLV 47 - No Play."
