Season_Year,GameKey,PlayID,GSISID,Role
2017,414,188,33704,PDL2
2017,414,1107,33704,PDL2
2017,424,1113,33704,PDR3
2017,424,1454,33704,PLR2
2017,424,644,33704,PRG
2017,424,135,33704,PRG
2017,424,2953,33704,PRG
2017,424,735,33704,PDR3
2017,424,3475,33704,PRG
2017,356,1166,33704,PDR3
2017,356,1513,33704,PDR3
2017,356,1929,33704,PDR3
2017,356,933,33704,PDR3
2017,356,3234,33704,PRG
2017,356,2111,33704,PDR3
2017,356,2595,33704,PDR3
2017,356,2295,33704,PDR3
2017,356,3084,33704,PDR3
2017,356,2779,33704,PDR3
2017,356,2970,33704,PRG
2017,356,2688,33704,PRG
2017,356,2197,33704,PRG
2017,356,1076,33704,PRG
2017,356,1384,33704,PRG
2017,345,3720,33704,PDR3
2017,345,3135,33704,PRG
2017,345,2487,33704,PRG
2017,345,2674,33704,PRG
2017,345,3530,33704,PRG
2017,379,2633,33704,PRG
2017,379,2356,33704,PDR3
2017,379,1799,33704,PRG
2017,379,3305,33704,PRG
2017,379,3938,33704,PRG
2017,379,4043,33704,PDR3
2017,510,2377,33704,PRG
2017,510,1725,33704,PRG
2017,510,987,33704,PRG
2017,510,2902,33704,PRG
2017,510,3729,33704,PRG
2017,510,376,33704,PLR2
2017,510,1279,33704,PLR
2017,510,3550,33704,PDR3
2017,537,399,33704,PRG
2017,537,171,33704,PRG
2017,537,4649,33704,PDR3
2017,537,1232,33704,PRG
2017,537,622,33704,PRG
2017,537,663,33704,PRG
2017,537,2903,33704,PRG
2017,537,3475,33704,PRG
2017,537,2495,33704,PRG
2017,537,1475,33704,PRG
2017,537,4183,33704,PRG
2017,537,3726,33704,PRG
2017,537,2000,33704,PDR3
2017,537,3382,33704,PDR3
2017,537,3026,33704,PDR3
2017,537,3603,33704,PLR
2017,537,1385,33704,PLR
2017,537,1606,33704,PDR3
2017,537,920,33704,PDR3
2017,537,313,33704,PLR2
2017,537,493,33704,PDR3
2017,502,734,33704,PRG
2017,502,2594,33704,PDR3
2017,502,2333,33704,PDR3
2017,502,1794,33704,PDR3
2017,502,2005,33704,PDR3
2017,502,1121,33704,PDR3
2017,502,852,33704,PDR4
2017,502,879,33704,PDR3
2017,502,487,33704,PDR3
