GSISID,Number,Position
32069,36,SS
30095,11,WR
31586,22,FS
29520,35,SS
30517,51,OLB
32697,36,FS
32250,18,WR
27978,54,ILB
31666,44,OLB
27791,44,RB
31919,23,SS
27547,35,CB
31087,29,FS
33802,80,WR
33928,27,CB
33820,66,OLB
31270,96,NT
33140,48,ILB
32592,20,SS
32655,78,DE
28202,24,RB
33566,36,CB
32372,10,WR
33874,23,CB
32875,20,CB
32084,58,OLB
31380,21,CB
29681,20,CB
33210,54,LS
31268,19,WR
32279,37,DB
29553,39,FS
33756,47,CB
31746,41,RB
28601,27,SS
30384,53,OLB
32761,90,DT
31263,54,ILB
33025,46,RB
32806,39o,RB
28443,51,OLB
30283,23,CB
26281,82,TE
32602,14,WR
32671,97,DE
33963,92,NT
30449,94,DT
30917,43,CB
30396,50,OLB
29560,27,CB
32537,83,WR
30562,21,CB
29566,53,ILB
32743,46o,TE
33261,83,WR
27957,21,CB
33004,30,RB
33886,90,OLB
33041,32,CB
31950,58,OLB
30502,50,OLB
33063,49,LS
27539,41,SS
22923,23,FS
30317,20,FS
33704,49d,OLB
24220,54,OLB
27998,29,CB
25942,92,DE
31844,22d,SS
33599,19,WR
31953,11,WR
31459,28,RB
33733,89,WR
31796,28,CB
33019,31,CB
32739,82,WR
32750,75,DE
33555,10,WR
33919,11,WR
33950,22,RB
33406,50,ILB
31683,38d,CB
33450,56,MLB
29972,64,DT
33664,31o,RB
32775,14,WR
31576,90,OLB
33415,27,FS
31929,54,OLB
33124,23d,CB
30317,47,FS
32610,62,DE
32138,98,NT
33870,94,DE
30091,15,WR
31208,57,DE
33114,13,WR
26858,9,K
30300,13,WR
31394,28,CB
32611,35o,RB
29530,28,CB
29739,5,P
27197,47,LS
30187,86,WR
31427,51,ILB
32195,28,CB
31397,36,SS
32452,44,OLB
26910,20,CB
33997,43,OLB
30634,49,OLB
31556,44,DE
33302,38,FS
25402,94,OLB
31754,37,FS
30709,83,WR
29607,56,OLB
33577,47,OLB
31262,25,CB
32467,48,LB
29890,64,NT
32389,20,CB
24535,14,WR
30576,56,DT
33270,56,OLB
32128,17,WR
32707,17,WR
26182,19,WR
29177,40D,SS
