season,Season_Type,Week,Home_team,Visit_Team,Qtr,PlayDescription,gamekey,playid,Preview Link
2017,Reg,2,Cincinnati Bengals,Houston Texans,1,"(14:14) S.Lechler punts 58 yards to CIN 13, Center-J.Weeks. A.Jones to CIN 46 for 33 yards (D.Cole).",415,124,http://a.video.nfl.com//films/vodzilla/153511/Lechler_58_yard_punt-8LArhoQg-20181121_123420599_5000k.mp4
2017,Reg,2,Cincinnati Bengals,Houston Texans,1,"(12:09) K.Huber punts 58 yards to HST 3, Center-C.Harris, out of bounds.",415,299,http://a.video.nfl.com//films/vodzilla/153512/Huber_58_yard_punt-AVzOd2dr-20181121_123514795_5000k.mp4
2017,Reg,2,Cincinnati Bengals,Houston Texans,1,"(10:19) S.Lechler punts 53 yards to CIN 37, Center-J.Weeks. A.Jones to CIN 45 for 8 yards (J.Weeks; K.Drummond).",415,398,http://a.video.nfl.com//films/vodzilla/153513/Lechler_53_yard_punt-WmeJnTRn-20181121_123558866_5000k.mp4
2017,Reg,2,Cincinnati Bengals,Houston Texans,1,"(8:23) K.Huber punts 31 yards to HST 15, Center-C.Harris, fair catch by T.Ervin.",415,526,http://a.video.nfl.com//films/vodzilla/153516/Huber_31_yard_punt-e0DJfmIv-20181121_124127263_5000k.mp4
2017,Reg,2,Carolina Panthers,Buffalo Bills,1,"(7:56) C.Schmidt punts 57 yards to CAR 9, Center-R.Ferguson. C.McCaffrey to CAR 14 for 5 yards (L.Alexander; R.Humber).",417,436,http://a.video.nfl.com//films/vodzilla/153517/Schmidt_57_yard_punt-EMXj28Mw-20181121_124742503_5000k.mp4
2017,Reg,2,Carolina Panthers,Buffalo Bills,1,"(2:34) M.Palardy punts 35 yards to BUF 10, Center-J.Jansen, fair catch by K.Clay.",417,653,http://a.video.nfl.com//films/vodzilla/153518/Palardy_35_yard_punt-5HK4Uafk-20181121_124850113_5000k.mp4
2017,Reg,2,Carolina Panthers,Buffalo Bills,1,"(:34) C.Schmidt punts 52 yards to CAR 31, Center-R.Ferguson. C.McCaffrey pushed ob at CAR 40 for 9 yards (C.Anderson).",417,738,http://a.video.nfl.com//films/vodzilla/153519/Schmidt_52_yard_punt-3Gy1xAEI-20181121_125005278_5000k.mp4
2017,Reg,2,Carolina Panthers,Buffalo Bills,2,"(12:11) M.Palardy punts 37 yards to BUF 2, Center-J.Jansen, downed by CAR-C.Samuel.",417,914,http://a.video.nfl.com//films/vodzilla/153520/Palardy_punts_37_yards-VDvfmtqE-20181121_125049455_5000k.mp4
2017,Reg,2,Pittsburgh Steelers,Minnesota Vikings,2,"(5:17) (Punt formation) J.Berry punts 36 yards to MIN 42, Center-K.Canaday, fair catch by M.Sherels.",422,1565,http://a.video.nfl.com//films/vodzilla/153532/Berry_36_yard_punt-aeouOjOz-20181121_145030717_5000k.mp4
2017,Reg,2,Pittsburgh Steelers,Minnesota Vikings,2,"(3:08) (Punt formation) R.Quigley punts 54 yards to PIT 12, Center-K.McDermott, fair catch by E.Rogers.",422,1648,http://a.video.nfl.com//films/vodzilla/153533/Quigley_54_yard_punt-olSZUGUQ-20181121_145124844_5000k.mp4
2017,Reg,2,Pittsburgh Steelers,Minnesota Vikings,2,"(:43) (Punt formation) J.Berry punts 37 yards to MIN 9, Center-K.Canaday, fair catch by M.Sherels.",422,1947,http://a.video.nfl.com//films/vodzilla/153534/Berry_37_yard_punt-Lwi5yHm0-20181121_145158977_5000k.mp4
2017,Reg,2,Baltimore Ravens,Cleveland Browns,1,"(13:22) (Punt formation) B.Colquitt punts 49 yards to BLT 28, Center-C.Hughlett, fair catch by L.Webb.",416,140,http://a.video.nfl.com//films/vodzilla/153541/Colquitt_49_yard_punt-bU7jCion-20181121_151250984_5000k.mp4
2017,Reg,2,Baltimore Ravens,Cleveland Browns,1,"(10:14) (Punt formation) S.Koch punts 37 yards to CLV 9, Center-M.Cox, fair catch by J.Peppers.",416,297,http://a.video.nfl.com//films/vodzilla/153542/Koch_37_yard_punt-OWop3Oxl-20181121_151409933_5000k.mp4
2017,Reg,2,Baltimore Ravens,Cleveland Browns,2,"(10:51) (Punt formation) B.Colquitt punts 38 yards to BLT 31, Center-C.Hughlett. M.Campanaro pushed ob at BLT 36 for 5 yards (S.Coates).",416,1138,http://a.video.nfl.com//films/vodzilla/153543/Colquitt_38_yard_punt-crYscJ4D-20181121_151454191_5000k.mp4
2017,Reg,2,Baltimore Ravens,Cleveland Browns,2,"(2:58) (Punt formation) S.Koch punts 54 yards to CLV 14, Center-M.Cox. J.Peppers to CLV 22 for 8 yards (A.Levine Sr.). PENALTY on CLV-D.Njoku, Unnecessary Roughness, 7 yards, enforced at CLV 14.",416,1595,http://a.video.nfl.com//films/vodzilla/153546/Koch_punts_54_yards-gzZtaqYS-20181121_151648415_5000k.mp4
2017,Reg,2,Tampa Bay Buccaneers,Chicago Bears,3,"(6:11) (Punt formation) P.O'Donnell punts 51 yards to TB 8, Center-A.DePaola, downed by CHI-S.McManis.",423,2500,http://a.video.nfl.com//films/vodzilla/153548/ODonnell_punts_51_yards-kKZryrhz-20181121_151850563_5000k.mp4
2017,Reg,2,Tampa Bay Buccaneers,Chicago Bears,4,"(7:58) (Punt formation) B.Anger punts 54 yards to CHI 36, Center-G.Sanborn. T.Cohen pushed ob at CHI 46 for 10 yards (C.Lynch).",423,3333,http://a.video.nfl.com//films/vodzilla/153549/Anger_punts_54_yards-Z0nybNaO-20181121_151915569_5000k.mp4
2017,Reg,2,Oakland Raiders,New York Jets,1,"(13:00) M.King punts 55 yards to NYJ 24, Center-J.Condo. K.Raymond to NYJ 35 for 11 yards (T.Adams). PENALTY on OAK-J.Holton, Player Out of Bounds on Punt, 5 yards, enforced at NYJ 35.",425,139,http://a.video.nfl.com//films/vodzilla/153550/King_punts_55_yards-SC9CcB89-20181121_152003403_5000k.mp4
2017,Reg,2,Oakland Raiders,New York Jets,1,"(11:00) L.Edwards punts 39 yards to OAK 19, Center-T.Hennessy, out of bounds.",425,246,http://a.video.nfl.com//films/vodzilla/153551/Edwards_punts_39_yards-Go63MvrV-20181121_152049487_5000k.mp4
2017,Reg,2,Los Angeles Chargers,Miami Dolphins,4,"(13:36) D.Kaser punts 23 yards to MIA 19, Center-M.Windt, downed by LAC.",424,2953,http://a.video.nfl.com//films/vodzilla/153553/Kaser_punts_23_yards-nrQK4BkT-20181121_153100718_5000k.mp4
2017,Reg,2,Los Angeles Chargers,Miami Dolphins,4,"(3:12) D.Kaser punts 40 yards to MIA 35, Center-M.Windt. J.Grant to MIA 49 for 14 yards (H.Pullard, A.Ekeler).",424,3475,http://a.video.nfl.com//films/vodzilla/153554/Kaser_punts_40_yards-4yAttEK8-20181121_153149784_5000k.mp4
